timestamp,channelTitle,id,title,viewCount,likeCount,commentCount,duration
2026-03-28 19:46:11,Monitor fantasma,6wvGLiDGJjc,Hegel: ¿Qué es el espíritu absoluto?,27798,1734,136,PT13M1S
2026-03-28 19:46:11,Monitor fantasma,53fcWfOur8E,Cuando la CIENCIA humilló a la FILOSOFÍA,57187,4094,474,PT11M25S
2026-03-28 19:46:11,Monitor fantasma,9Q-Pw6OeuOo,Los 7 libros de filosofía más DIFÍCILES de comprender,107792,6198,397,PT12M23S
2026-03-28 19:46:11,Monitor fantasma,cHIIKDvrQ7I,Por qué la filosofía puede ser la carrera del futuro,68986,4984,347,PT17M51S
2026-03-28 19:46:11,Monitor fantasma,GFCRKuvcTxg,Jacques Lacan: El deseo y el sentimiento de culpa,34160,2296,90,PT11M15S
2026-03-28 19:46:11,Monitor fantasma,lgmlkxG_Tfc,El síndrome del rey desnudo ¿Por qué elegimos ser estúpidos?,28205,2685,151,PT10M51S
2026-03-28 19:46:11,Monitor fantasma,ofVLVaESqH8,Esta película de Chaplin nos revela algo muy turbio,12025,1427,81,PT9M38S
2026-03-28 19:46:11,Monitor fantasma,TXSvm4QZzCo,El diagrama de la felicidad: desde Coelho hasta Nietzsche,27529,2151,158,PT15M57S
2026-03-28 19:46:11,Monitor fantasma,J-8TumPxoSQ,¡Deja de llamar tóxico a todo!,16157,1842,115,PT13M33S
2026-03-28 19:46:11,Monitor fantasma,gNdZhAGKtZA,La paradoja de Bentham y el utilitarismo filosófico,12446,1195,94,PT11M41S
2026-03-28 19:46:11,Monitor fantasma,K3vavcC_Ty0,La Sociedad del Cansancio de Byung-Chul Han,89017,7475,531,PT15M29S
2026-03-28 19:46:11,Monitor fantasma,gooctxFfKR4,Las 10 Red Flags que indican pensamiento de rebaño,36539,3648,301,PT11M56S
2026-03-28 19:46:11,Monitor fantasma,fEsqx4xHmoI,El universo según Aristóteles,11114,921,79,PT14M13S
2026-03-28 19:46:11,Monitor fantasma,WsHq3FwhF2o,¿La buena vida es cara? Respuesta a Jaime Bayly,46801,3985,326,PT13M47S
2026-03-28 19:46:11,Monitor fantasma,YECLo_OoCmU,8 Libros de filosofía FÁCILES  de leer y disfrutar,40637,3332,129,PT12M24S
2026-03-28 19:46:11,Monitor fantasma,MNa-zX8JkcU,ChatGpt vs Copilot: IAs debaten sobre el bien y el mal,12278,1083,104,PT15M51S
2026-03-28 19:46:11,Monitor fantasma,JveCh_XBKzk,"Ryan Gosling, Ken y la Masculinidad sintética",30654,3272,214,PT11M5S
2026-03-28 19:46:11,Monitor fantasma,LJgyxQmw_dg,¿Se puede MANIPULAR a cualquier persona?,17110,1692,107,PT13M27S
2026-03-28 19:46:11,Monitor fantasma,l_O1XQl-4j8,¿Por qué los protestantes son más ricos que los católicos?,27854,2486,540,PT12M8S
2026-03-28 19:46:11,Monitor fantasma,_IMe_IpJGEE,Los 7 pleitos filosóficos más famosos,23913,2006,147,PT11M29S
2026-03-28 19:46:11,Monitor fantasma,jsPXtvpl0ZY,Cuando la RELIGIÓN intentó bajarse la CIENCIA ⛪🧪,17024,1781,285,PT13M57S
2026-03-28 19:46:11,Monitor fantasma,bNf1k_OqyT0,La teoría de los tres mundos de Karl Popper,15407,1363,75,PT12M13S
2026-03-28 19:46:11,Monitor fantasma,1QFi_ZTZ0z4,Filosofía vs. Ideología: diferencias y similitudes,17775,1934,138,PT11M39S
2026-03-28 19:46:11,Monitor fantasma,2hreOCKRRuA,Qué es el humor y cuáles son sus límites,19814,1960,161,PT15M26S
2026-03-28 19:46:11,Monitor fantasma,n-4YNGCLp_g,Heidegger: Entre el existencialismo y el nazismo,8577,916,47,PT12M15S
2026-03-28 19:46:11,Monitor fantasma,n1dTLlMWIw0,Jürgen Habermas en 10 minutos  Filosofía,29606,1909,109,PT12M12S
2026-03-28 19:46:11,Monitor fantasma,t-8zZa_Y6AY,8 Hechos y verdades curiosas sobre la FILOSOFÍA,13358,1316,78,PT10M43S
2026-03-28 19:46:11,Monitor fantasma,rVCYR-dL_WA,Apología a la TIBIEZA,20129,2425,350,PT11M52S
2026-03-28 19:46:11,Monitor fantasma,ZwIy-QsPv6E,La paradoja de ser políticamente correcto,18887,2084,179,PT12M10S
2026-03-28 19:46:11,Monitor fantasma,oEHtpUbboTk,"¿Por qué Gorgias decía que ""nada existe""?",16687,1318,135,PT11M10S
2026-03-28 19:46:11,Monitor fantasma,eKHhhKRFUv4,Vives en una prisión y NO te has enterado,15482,1737,149,PT10M9S
2026-03-28 19:46:11,Monitor fantasma,TYJrSiQRPNY,Nietzsche: Cómo llegar a ser el superhombre,12757,1183,73,PT9M31S
2026-03-28 19:46:11,Monitor fantasma,M0bWO_XVQkM,Cómo enfrentarse a un tonto de manera inteligente,19313,1816,134,PT11M18S
2026-03-28 19:46:11,Monitor fantasma,yy5dCsQhJqc,La clientización de la sociedad,27185,2575,147,PT10M58S
2026-03-28 19:46:19,HugoX ChugoX,xJ8cFc5WWjo,Entrevista a ISAAC HUMALA | CICLO DE ENTREVISTAS 2026,1641,133,34,PT1H7M56S
2026-03-28 19:46:19,HugoX ChugoX,jhNKx0_s8Sw,Entrevista KATIA HUMALA TASSO | CICLO DE ENTREVISTAS 2026,2068,134,18,PT57M41S
2026-03-28 19:46:19,HugoX ChugoX,rUwSfxJCGOI,El colapso de nuestras ciudades y la solución que ningún político te cuenta,25254,1486,217,PT6M53S
2026-03-28 19:46:19,HugoX ChugoX,S_Kea8j38fQ,RESUMEN 3RA FECHA DEBATE PRESIDENCIAL 2026,59659,1981,317,PT19M45S
2026-03-28 19:46:19,HugoX ChugoX,JSdJhKjC5BA,RESUMEN 2DA FECHA DEBATE PRESIDENCIAL 2026,57459,2159,465,PT25M17S
2026-03-28 19:46:19,HugoX ChugoX,0RhPhP1cTj4,RESUMEN DEBATE PRESIDENCIAL 2026 - PARTE I,101767,4390,466,PT16M15S
2026-03-28 19:46:19,HugoX ChugoX,5REjd1h0LFM,Entrevista MESÍAS GUEVARA | CICLO DE ENTREVISTAS 2026,1871,134,26,PT1H12M52S
2026-03-28 19:46:19,HugoX ChugoX,KLWPqEPMPw8,"Entrevista a Narescka Culqui de ""Libertad Popular"" | Ciclo de entrevistas 2026",2927,142,16,PT1H16M47S
2026-03-28 19:46:19,HugoX ChugoX,gXiNM0W_NDw,LA SELVA ES CLAVE: BRASIL PIDE AL PERÚ SALIDA AL PACÍFICO,89892,4265,643,PT18M51S
2026-03-28 19:46:19,HugoX ChugoX,WapGPR-5rjs,Ciclo de entrevistas 2026: David García y Carlos Silva,1082,43,6,PT1H14M40S
2026-03-28 19:46:19,HugoX ChugoX,-q8vsX1CyEY,Entrevista MARISOL PÉREZ TELLO | CICLO DE ENTREVISTAS 2026,4362,331,86,PT57M55S
2026-03-28 19:46:19,HugoX ChugoX,7QATDNnXpv0,GAS DE CAMISEA NO SERÁ PARA SIEMPRE,108626,4074,781,PT15M37S
2026-03-28 19:46:19,HugoX ChugoX,f12h_MdTOjg,GAS DE CAMISEA: TODO LO QUE NECESITAS SABER,360284,14592,2031,PT15M26S
2026-03-28 19:46:19,HugoX ChugoX,LgmsWXyaJz8,Caso Lizeth Marzano - Adrián Villar: EXPLICACIÓN COMPLETA,123422,5353,509,PT16M10S
2026-03-28 19:46:19,HugoX ChugoX,g-_1rQkih6c,¿CÓMO CONFIAR EN LAS INMOBILIARIAS EN 2026?,9718,519,18,PT11M2S
2026-03-28 19:46:19,HugoX ChugoX,T6F8l87G3Xw,🦊La Cultura THERIAN 🐶¿Qué dice la CIENCIA al respecto?,16791,939,212,PT14M40S
2026-03-28 19:46:19,HugoX ChugoX,y2QKInW-Byc,🇵🇪NIÑO COSTERO 2026💧el ORIGEN del desastre,105552,4517,403,PT14M3S
2026-03-28 19:46:19,HugoX ChugoX,glaRQnfykeM,¿Quién es realmente José Balcázar y cómo afecta al Perú?,77789,3593,553,PT12M55S
2026-03-28 19:46:19,HugoX ChugoX,q9O1xN_qyaU,Embarazo forzado y poder político: lo que no te contaron,9302,650,154,PT11M4S
2026-03-28 19:46:19,HugoX ChugoX,jS4t7JuzL08,🇵🇪JOSÉ JERÍ: Resumen de su efímero gobierno y su caída ,88306,3479,472,PT12M
2026-03-28 19:46:19,HugoX ChugoX,HmE8ZM5ty8w,TRUJILLO ES CLAVE Y TE DIRÉ POR QUÉ ,34445,1859,316,PT5M19S
